BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
SNDX,IMOEX,2006-11-15,Индекс МосБиржи,Индекс МосБиржи,1504.61,1498.75,1509.14,1496.84,36690447559.38,,,2,,RUB,
RTSI,MCFTR,2006-11-15,MOEX Russia Total Return,Индекс МосБиржи полной доходности «брутто»,1539.27,1539.27,1539.27,1539.27,0.0,,,2,0.0,,
RTSI,MCFTRN,2006-11-15,MOEX Russia Net-TR-NR,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам иностранных организаций),1534.03,1534.03,1534.03,1534.03,0.0,,,2,0.0,,
RTSI,MCFTRR,2006-11-15,MOEX Russia Net-TR-Res,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций),1536.12,1536.12,1536.12,1536.12,0.0,,,2,0.0,,
SNDX,MICEX10INDEX,2006-11-15,Индекс МосБиржи 10,Индекс МосБиржи 10,2755.56,2734.0,2758.84,2734.0,19645516555.96,,,2,,RUB,
SNDX,MICEXBNDPRCI,2006-11-15,RCBI,RCBI,101.14,101.22,101.22,101.09,905327008.2,,,2,,RUB,
SNDX,MICEXBNDTRTI,2006-11-15,RCBIc,RCBI-c,145.06,,,,905327008.2,,,2,,RUB,
SNDX,MICEXBORR1W,2006-11-15,MCX BO 1W,ММВБ РЕПО обл 7 дней,6.02,,,,4318316219.04,,,2,,RUB,
SNDX,MICEXBORR2W,2006-11-15,MCX BO 2W,ММВБ РЕПО обл 14 дней,6.59,,,,2116410265.44,,,2,,RUB,
SNDX,MICEXBORRON,2006-11-15,MCX BO ON,ММВБ РЕПО обл 1 день,6.43,,,,3478864730.46,,,2,,RUB,
SNDX,MICEXCBICP,2006-11-15,Индекс Мосбиржи корп обл CBICP,Индекс Мосбиржи корпоративных облигаций ценовой,101.14,101.22,101.22,101.09,905327008.2,,,2,,RUB,
SNDX,MICEXCBICP3Y,2006-11-15,Индекс Мосбиржи корп обл CBICP 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1 - 3 ценовой,101.82,101.85,101.86,101.82,876914787.4,672,7.58,2,,RUB,
SNDX,MICEXCBICP5Y,2006-11-15,Индекс Мосбиржи корп обл CBICP 1-3,Индекс Мосбиржи корпоративных облигаций ценовой 3-5,102.7,102.79,102.79,102.7,1085533586.8,1193,7.44,2,,RUB,
SNDX,MICEXCBIGP3Y,2006-11-15,ММВБ корп обл (вал) 1-3,ММВБ корп обл (вал) 1-3,104.15,104.18,104.19,104.15,876914787.4,672,7.58,2,,RUB,
SNDX,MICEXCBIGP5Y,2006-11-15,ММВБ корп обл (вал) 3-5,ММВБ корп обл (вал) 3-5,104.56,104.64,104.65,104.56,1085533586.8,1193,7.44,2,,RUB,
SNDX,MICEXCBITR,2006-11-15,Индекс Мосбиржи корп обл CBITR,Индекс Мосбиржи корпоративных облигаций,145.06,,,,905327008.2,,,2,,RUB,
SNDX,MICEXCBITR3Y,2006-11-15,Индекс Мосбиржи корп обл CBITR 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1-3,143.86,143.9,143.92,143.86,876914787.4,672,7.58,2,,RUB,
SNDX,MICEXCBITR5Y,2006-11-15,Индекс Мосбиржи корп обл CBITR 1-3,Индекс Мосбиржи корпоративных облигаций 3-5,145.12,145.24,145.24,145.12,1085533586.8,1193,7.44,2,,RUB,
SNDX,MICEXCGS,2006-11-15,Индекс потребительского сектора / Индекс потребит сектора,Индекс МосБиржи потребительского сектора,2762.14,2763.76,2771.55,2759.46,17476858.95,,,2,,RUB,
SNDX,MICEXEQRR1W,2006-11-15,MCX EQ 1W,ММВБ РЕПО акц 7 дней,7.07,,,,7047398240.91,,,2,,RUB,
SNDX,MICEXEQRR2W,2006-11-15,MCX EQ 2W,ММВБ РЕПО акц 14 дней,7.06,,,,1571076588.84,,,2,,RUB,
SNDX,MICEXEQRRON,2006-11-15,MCX EQ ON,ММВБ РЕПО акц 1 день,7.27,,,,4898146136.18,,,2,,RUB,
SNDX,MICEXFNL,2006-11-15,Индекс финансов,Индекс МосБиржи финансов,4817.54,4773.1,4848.86,4773.1,2270613594.43,,,2,,RUB,
SNDX,MICEXINDEXCF,2006-11-15,Индекс МосБиржи (архив),Индекс МосБиржи (архив),1504.61,1498.75,1509.14,1496.84,36690447559.38,,,2,,RUB,
SNDX,MICEXLC,2006-11-15,MICEX LC,ММВБ высокая кап,2540.64,2534.74,2550.51,2522.55,33863774931.55,,,2,,RUB,
SNDX,MICEXM&M,2006-11-15,Индекс металлов и добычи,Индекс МосБиржи металлов и добычи,2481.76,2498.23,2504.25,2469.33,2757620753.34,,,2,,RUB,
SNDX,MICEXMBICP,2006-11-15,Индекс Мосбиржи мун обл MOEX MBICP,Индекс Мосбиржи муниципальных облигаций ценовой,98.32,98.38,98.38,98.28,899018502.45,1187,7.01,2,,RUB,
SNDX,MICEXMBIGP,2006-11-15,MICEXMBIGP,ММВБ муни обл (вал),100.32,100.38,100.38,100.29,899018502.45,1187,7.01,2,,RUB,
SNDX,MICEXMBITR,2006-11-15,Индекс Мосбиржи мун обл MBITR,Индекс Мосбиржи муниципальных облигаций,104.56,104.62,104.63,104.53,899018502.45,1187,7.01,2,,RUB,
SNDX,MICEXMC,2006-11-15,MICEX MC,ММВБ стандарт кап,2379.77,2360.01,2380.32,2359.77,2235924045.17,,,2,,RUB,
SNDX,MICEXMNF,2006-11-15,Машиностроение,Индекс машиностроения Московской Биржи,2087.45,2095.18,2096.37,2081.63,72129991.69,,,2,,RUB,
SNDX,MICEXO&G,2006-11-15,Индекс нефти и газа,Индекс МосБиржи нефти и газа,2721.99,2717.69,2730.8,2700.02,22174855881.0,,,2,,RUB,
SNDX,MICEXPWR,2006-11-15,Индекс электроэнергетики,Индекс МосБиржи электроэнергетики,2561.98,2562.47,2575.82,2557.13,9395352501.0,,,2,,RUB,
SNDX,MICEXSC,2006-11-15,Второй эшелон,Индекс второго эшелона Московской Биржи,3277.99,3268.31,3289.29,3262.85,141523119.77,,,2,,RUB,
SNDX,MICEXTLC,2006-11-15,Индекс телекоммуникаций,Индекс МосБиржи телекоммуникаций,1747.58,1714.05,1748.02,1714.03,1720769802.39,,,2,,RUB,
SNDX,MOEX10,2006-11-15,Индекс МосБиржи 10,Индекс МосБиржи 10,2755.56,2734.0,2758.84,2734.0,19645516555.96,,,2,,RUB,
SNDX,MOEXCN,2006-11-15,Индекс потребительского сектора / Индекс потребит сектора,Индекс МосБиржи потребительского сектора,2762.14,2763.76,2771.55,2759.46,17476858.95,,,2,,RUB,
