BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
EQNE,2012-06-01,АбрауДюрсо,ABRD,11.0,1911558.0,5455.0,5375.0,5455.0,5450.0,5446.0,5450.0,351.0,5446.0,5446.0,5446.0,1911558.0,1911558.0,1911558.0,
EQNL,2012-06-01,Система ао,AFKS,1476.0,48775120.7,24.2,22.489,24.296,22.599,22.859,22.6,2133700.0,22.859,22.859,22.859,48775120.7,48775120.7,48775120.7,
EQBR,2012-06-01,Аэрофлот,AFLT,2259.0,194648828.0,43.01,41.8,46.24,41.93,43.68,41.95,4455800.0,43.68,43.68,43.68,194657049.32,194657049.32,194657049.32,
SMAL,2012-06-01,Аэрофлот,AFLT,11.0,8221.32,39.0,39.0,43.5,42.0,40.7,42.0,202.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,ПАВА ао,AKHA,25.0,139163.1,9.11,8.283,9.11,8.388,8.434,8.445,16500.0,,8.942,,0.0,615461.31,0.0,
SMAL,2012-06-01,ПАВА ао,AKHA,2.0,181.91,5.3,5.3,7.47,7.47,6.273,7.47,29.0,,,,0.0,0.0,0.0,
EQNL,2012-06-01,Акрон,AKRN,1401.0,26403629.2,1074.0,1040.0,1095.0,1069.1,1065.3,1070.0,24784.0,1065.3,1065.3,1065.3,26403629.2,26403629.2,26403629.2,
EQBS,2012-06-01,АЛРОСА ао,ALRS,133.0,10460719.0,22.775,22.55,22.995,22.995,22.775,22.995,459300.0,22.775,22.775,22.775,10460719.0,10460719.0,10460719.0,
EQNE,2012-06-01,АшинскийМЗ,AMEZ,33.0,220612.9,6.487,6.308,6.899,6.4,6.508,6.4,33900.0,,6.623,,0.0,533898.1,0.0,
SMAL,2012-06-01,АшинскийМЗ,AMEZ,1.0,40.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,,,,0.0,0.0,0.0,
EQNL,2012-06-01,Аптеки36и6,APTK,1359.0,8866021.5,30.08,28.31,30.08,28.66,28.94,28.68,306390.0,28.94,28.94,28.94,8867594.46,8867594.46,8867594.46,
SMAL,2012-06-01,Аптеки36и6,APTK,22.0,1572.96,30.0,25.58,30.5,30.5,28.09,30.5,56.0,,,,0.0,0.0,0.0,
EQNL,2012-06-01,Армада,ARMD,51.0,898623.7,249.0,240.02,254.96,243.68,246.87,246.82,3640.0,246.87,246.87,246.87,898623.7,898623.7,898623.7,
EQNE,2012-06-01,Арсагера,ARSA,16.0,25251.5,1.225,1.1987,1.225,1.1987,1.2025,1.1987,21000.0,,1.2034,,0.0,500797.85,0.0,
SMAL,2012-06-01,Арсагера,ARSA,1.0,108.45,1.0845,1.0845,1.0845,1.0845,1.0845,1.0845,100.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,"ПАО ""Архэнергосбыт""",ARSB,65.0,339875.8,0.08201,0.06,0.09,0.08269,0.07904,0.08269,4300000.0,,0.0811,,0.0,500440.8,0.0,
SMAL,2012-06-01,"ПАО ""Архэнергосбыт""",ARSB,1.0,56.7,0.063,0.063,0.063,0.063,0.063,0.063,900.0,,,,0.0,0.0,0.0,
SMAL,2012-06-01,АрханСб ап,ARSBP,1.0,554.4,0.066,0.066,0.066,0.066,0.066,0.066,8400.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,АстрЭнСб,ASSB,4.0,2110.0,0.5278,0.5271,0.5278,0.5274,0.5275,0.5271,4000.0,,0.6516,,0.0,508948.71,0.0,
EQNL,2012-06-01,АВТОВАЗ ао,AVAZ,366.0,2940958.8,16.271,15.0,16.599,16.171,16.133,16.327,182300.0,16.133,16.133,16.133,2941315.0,2941315.0,2941315.0,
SMAL,2012-06-01,АВТОВАЗ ао,AVAZ,1.0,356.2,19.789,19.789,19.789,19.789,19.789,19.789,18.0,,,,0.0,0.0,0.0,
EQNL,2012-06-01,АВТОВАЗ ап,AVAZP,512.0,4642446.9,5.85,5.4,5.897,5.6,5.57,5.6,833400.0,5.57,5.57,5.57,4642446.9,4642446.9,4642446.9,
EQNE,2012-06-01,Башнефт ао,BANE,249.0,19489943.6,1575.0,1518.4,1575.0,1565.0,1555.7,1565.0,12528.0,1555.7,1555.7,1555.7,19489943.6,19489943.6,19489943.6,
EQNE,2012-06-01,Башнефт ап,BANEP,339.0,16234824.9,1065.5,1051.0,1085.0,1069.6,1068.2,1070.0,15198.0,1068.2,1068.2,1068.2,16234824.9,16234824.9,16234824.9,
EQNE,2012-06-01,БашЭнрг ао,BEGY,57.0,2716042.0,32.25,32.0,32.5,32.01,32.03,32.01,84800.0,32.03,32.03,32.03,2716732.0,2716732.0,2716732.0,
SMAL,2012-06-01,БашЭнрг ао,BEGY,1.0,690.0,30.0,30.0,30.0,30.0,30.0,30.0,23.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,БашЭнрг ап,BEGYP,34.0,997739.8,25.005,25.0,25.1,25.006,25.006,25.006,39900.0,25.004,25.004,25.004,998843.8,998843.8,998843.8,
SMAL,2012-06-01,БашЭнрг ап,BEGYP,1.0,1104.0,23.0,23.0,23.0,23.0,23.0,23.0,48.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,БашИнСв ао,BISV,4.0,79200.0,9.9,9.9,9.9,9.9,9.9,9.9,8000.0,,9.9,,0.0,516799.4,0.0,
EQNE,2012-06-01,БашИнСв ап,BISVP,8.0,115470.0,3.7,3.598,3.7,3.7,3.608,3.7,32000.0,,4.198,,0.0,501371.1,0.0,
EQNE,2012-06-01,Белон ао,BLNG,169.0,588592.6,7.48,7.053,7.5,7.148,7.267,7.148,81000.0,7.267,7.267,7.267,588592.6,588592.6,588592.6,
EQNE,2012-06-01,БурЗолото,BRZL,28.0,718917.0,670.0,600.0,670.0,600.0,609.3,600.0,1180.0,609.3,609.3,609.3,718917.0,718917.0,718917.0,
EQNL,2012-06-01,БСП ао,BSPB,277.0,3486292.0,55.54,53.0,55.54,54.01,54.46,54.0,64010.0,54.46,54.46,54.46,3486611.4,3486611.4,3486611.4,
SMAL,2012-06-01,БСП ао,BSPB,2.0,319.4,54.4,53.0,54.4,53.0,53.23,53.0,6.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,БСП ап,BSPBP,70.0,279994.8,71.3,68.12,71.42,70.92,70.53,70.97,3970.0,,71.18,,0.0,963843.8,0.0,
EQNL,2012-06-01,ЧТПЗ ао,CHEP,9.0,33234.0,38.04,36.02,38.04,37.03,36.93,37.03,900.0,,38.09,,0.0,502734.0,0.0,
EQNE,2012-06-01,ЧКПЗ ао,CHKZ,14.0,26408.7,1600.1,1600.1,1999.1,1785.3,1760.6,1999.1,15.0,,1844.2,,0.0,518228.9,0.0,
EQNL,2012-06-01,СевСт-ао,CHMF,8749.0,564378845.0,367.0,354.1,373.5,362.0,362.7,362.5,1556250.0,362.7,362.7,362.7,569355756.13,569355756.13,569355756.13,
SMAL,2012-06-01,СевСт-ао,CHMF,21.0,14081.5,356.5,341.3,364.7,356.8,352.0,355.6,40.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,ЧМК ао,CHMK,67.0,513174.0,2241.0,2181.0,2264.0,2264.0,2241.0,2264.0,229.0,2241.0,2241.0,2241.0,513174.0,513174.0,513174.0,
EQNL,2012-06-01,ЧЦЗ ао,CHZN,74.0,297917.6,64.0,63.65,65.69,65.69,64.07,65.69,4650.0,,65.13,,0.0,504410.55,0.0,
SMAL,2012-06-01,ЧЦЗ ао,CHZN,2.0,315.15,63.03,63.03,63.03,63.03,63.03,63.03,5.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,ЧелябЭС ао,CLSB,152.0,4603916.8,0.23,0.166,0.23,0.18485,0.17288,0.185,26630000.0,0.17288,0.17288,0.17288,4603916.8,4603916.8,4603916.8,
