BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2017-10-20,BYNRUB_TOD,BYNRUB_TOD,29.75,29.5,29.75,29.5,2.0,356500.0,29.7083
CNGD,2017-10-20,CHF_TODTOM,CHFRUBTODTOM,0.08,0.08,0.08,0.08,5.0,842360.43,
CETS,2017-10-20,CHFRUB_TOD,CHFRUB_TOD,58.42,58.42,58.42,58.42,1.0,292100.0,58.42
CETS,2017-10-20,CHFRUB_TOM,CHFRUB_TOM,58.6475,58.425,58.665,58.425,12.0,4101497.5,58.5928
CETS,2017-10-20,CNYRUB_TOD,CNY000000TOD,8.672,8.67,8.689,8.6884,26.0,68568841.1,8.6818
CNGD,2017-10-20,CNYRUB_TOD,CNY000000TOD,8.671,8.671,8.677,8.677,2.0,3131401.0,
CETS,2017-10-20,CNY_TODTOM,CNYRUBTODTOM,0.0038,0.0038,0.004999,0.004511,45.0,3289316861.7,0.004401
CNGD,2017-10-20,CNY_TODTOM,CNYRUBTODTOM,0.0,-0.00357,0.0121,0.011066,28.0,10200687.84,
CETS,2017-10-20,CNYRUB_TOM,CNYRUB_TOM,8.678,8.6755,8.7043,8.69,50.0,123291041.7,8.6892
CETS,2017-10-20,EUR_TODTOM,EUR000TODTOM,0.0453,0.045,0.047,0.045,446.0,138817944480.0,0.0454
CNGD,2017-10-20,EUR_TODTOM,EUR000TODTOM,0.0458,-0.0893,0.1105,0.046,1031.0,5953271989.38,
CETS,2017-10-20,EURUSD_TOD,EURUSD000TOD,1.1814,1.1795,1.1822,1.1815,65.0,1221236666.29,1.1804
CETS,2017-10-20,EURUSD_TOM,EURUSD000TOM,1.18165,1.1767,1.18235,1.1775,409.0,2585299059.67,1.18005
CNGD,2017-10-20,EURUSD_TOM,EURUSD000TOM,1.1818,1.1818,1.1818,1.1818,1.0,68036935.08,
CETS,2017-10-20,EURUSDTDTM,EURUSDTODTOM,0.000175,0.000158,0.000175,0.000165,120.0,32353578896.88,0.000164
CNGD,2017-10-20,EURUSDTDTM,EURUSDTODTOM,0.000166,-0.000487,0.000487,0.000167,26.0,10847298199.64,
CETS,2017-10-20,EURRUB_TOD,EUR_RUB__TOD,67.8,67.75,67.995,67.815,3335.0,17077432712.5,67.8589
CNGD,2017-10-20,EURRUB_TOD,EUR_RUB__TOD,67.895,67.685,67.995,67.685,20.0,7286839.84,
CETS,2017-10-20,EURRUB_TOM,EUR_RUB__TOM,67.8,67.6625,68.04,67.74,2810.0,10457599242.5,67.8994
CNGD,2017-10-20,EURRUB_TOM,EUR_RUB__TOM,67.91,67.91,68.03,67.96,4.0,268335500.0,
CETS,2017-10-20,GBP_TODTOM,GBPRUBTODTOM,0.0303,0.0303,0.0303,0.0303,2.0,98532070.0,0.0303
CNGD,2017-10-20,GBP_TODTOM,GBPRUBTODTOM,0.1027,-0.0872,0.1233,0.0965,48.0,30967043.61,
CETS,2017-10-20,GBPRUB_TOD,GBPRUB_TOD,75.4,75.39,75.82,75.68,15.0,23408420.0,75.511
CETS,2017-10-20,GBPRUB_TOM,GBPRUB_TOM,75.355,75.35,75.9475,75.8675,49.0,24447430.0,75.6886
CETS,2017-10-20,GLD_TODTOM,GLDRUBTODTOM,1.75,1.75,1.75,1.75,2.0,760240000.0,1.75
CETS,2017-10-20,GLDRUB_TOM,GLDRUB_TOM,2369.0,2369.0,2369.0,2369.0,1.0,118450.0,2369.0
CETS,2017-10-20,HKDRUB_TOM,HKDRUB_TOM,7.3683,7.3683,7.3683,7.3683,1.0,14736.6,7.3683
CETS,2017-10-20,SLVRUB_TOM,SLVRUB_TOM,31.67,31.67,31.67,31.67,1.0,79175.0,31.67
CETS,2017-10-20,USDRUB_TOD,USD000000TOD,57.3975,57.34,57.61,57.4975,13133.0,61731567927.5,57.4965
CNGD,2017-10-20,USDRUB_TOD,USD000000TOD,57.4075,57.35,57.64,57.49,294.0,1549436746.4,
CETS,2017-10-20,USD_TODTOM,USD000TODTOM,0.0302,0.0261,0.0316,0.0266,1165.0,697397529150.0,0.0303
CNGD,2017-10-20,USD_TODTOM,USD000TODTOM,0.073,-0.0754,0.0933,0.0303,6529.0,119040799226.93,
CETS,2017-10-20,USDRUB_TOM,USD000UTSTOM,57.415,57.365,57.64,57.4825,23916.0,168558334385.0,57.5203
CNGD,2017-10-20,USDRUB_TOM,USD000UTSTOM,57.385,57.38,57.63,57.57,45.0,7125219482.79,
FIXS,2017-10-20,USDRUBFIX0,USDRUB_FIX0,57.6045,57.6045,57.6045,57.6045,3.0,691254000.0,57.6045
CETS,2017-10-20,USDRUB_SPT,USDRUB_SPT,57.585,57.585,57.585,57.585,1.0,48025890.0,57.585
CETS,2017-10-20,USD_TOM1M,USDRUB_TOM1M,0.3266,0.3266,0.3323,0.3323,3.0,403671400.0,0.3298
CETS,2017-10-20,USD_TOM1W,USDRUB_TOM1W,0.0711,0.0711,0.0711,0.0711,1.0,57408600.0,0.0711
CNGD,2017-10-20,USD_TOM1W,USDRUB_TOM1W,0.072,0.0715,0.072,0.0715,2.0,7176175000.0,
