BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2021-01-13,АбрауДюрсо,ABRD,214.0,1958820.0,200.0,200.0,202.0,201.5,201.0,202.0,9750.0,201.0,201.0,201.5,1958820.0,1958820.0,1958820.0,0.0,3
SMAL,2021-01-13,АСКО ао,ACKO,3.0,490.3,5.5,5.5,6.3,,5.82,6.3,89.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,АСКО ао,ACKO,41.0,253590.0,5.88,5.8,5.88,5.82,5.82,5.82,43600.0,,5.82,5.82,0.0,502758.0,0.0,0.0,3
SMAL,2021-01-13,Система ао,AFKS,9.0,456.66,30.608,30.608,34.195,,30.967,30.88,14.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,Система ао,AFKS,25332.0,1754119793.5,31.1,30.555,31.399,30.75,30.967,30.794,56645300.0,30.974,30.974,30.75,1696933796.6,1696933796.6,1696933796.6,0.0,3
SMAL,2021-01-13,Аэрофлот,AFLT,42.0,21956.34,73.18,72.62,73.96,,73.38,73.28,300.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,Аэрофлот,AFLT,24215.0,972619091.4,74.12,72.92,74.38,73.36,73.38,73.5,13254180.0,73.38,73.38,73.36,887076116.4,887076116.4,887076116.4,0.0,3
TQBR,2021-01-13,AGRO-гдр,AGRO,4553.0,113502940.0,882.0,880.8,902.2,882.8,886.6,882.8,128019.0,886.6,886.6,882.8,113502940.0,113502940.0,113502940.0,0.0,3
TQTF,2021-01-13,ETF AKCH,AKCH,140.0,14883602.93,111.01,108.6,111.01,109.95,108.95,109.95,136629.0,108.93,108.93,109.95,14883602.93,14883602.93,14883602.93,6787446.36,3
TQTE,2021-01-13,AKEU ETF,AKEU,296.0,151865.69,11.13,11.05,11.13,11.13,11.11,11.13,13674.0,1003.14,1003.14,11.13,13716919.2,13716919.2,13716919.2,142443.04,3
TQTF,2021-01-13,ETF AKMB,AKMB,1545.0,3080161.0,1.0687,1.0648,1.0694,1.0675,1.0671,1.0676,2884560.0,1.0679,1.0679,1.0675,2862972.09,2862972.09,2862972.09,4864547.87,3
TQTF,2021-01-13,ETF AKME,AKME,32.0,87377.22,109.71,108.71,109.92,109.17,109.63,109.17,797.0,,109.62,109.17,0.0,1812612.25,0.0,3092883.55,3
TQTD,2021-01-13,AKNX ETF,AKNX,437.0,90079.69,18.96,18.75,18.99,18.93,18.87,18.94,4770.0,1401.4,1401.4,18.93,7734203.01,7734203.01,7734203.01,342657.69,3
TQTF,2021-01-13,AKNX ETF,AKNX,90.0,1044317.8,1390.8,1388.0,1403.6,1406.0,1401.2,1394.6,749.0,1401.4,1401.4,1406.0,7734203.01,7734203.01,7734203.01,25314076.87,3
TQBR,2021-01-13,Акрон,AKRN,1468.0,59254762.0,5970.0,5936.0,6030.0,6014.0,5998.0,6014.0,9880.0,5998.0,5998.0,6014.0,59254762.0,59254762.0,59254762.0,0.0,3
TQTD,2021-01-13,AKSP ETF,AKSP,297.0,155284.36,13.06,13.01,13.12,13.11,13.05,13.11,11895.0,969.52,969.52,13.11,11532395.03,11532395.03,11532395.03,468428.01,3
TQBR,2021-01-13,БестЭфБ ао,ALBK,472.0,3479500.0,56.5,56.0,65.5,58.5,60.0,58.5,58160.0,60.0,60.0,58.5,3479500.0,3479500.0,3479500.0,0.0,3
