BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQOD,2021-06-09,UBANK11/22,AMUNIBB2AER2,3.0,3284.9,102.65,102.7,102.7,102.7,,102.6531,,102.65,32.0,102.6171,102.6228,102.7,830361.35,755564.96,830361.35,2022-11-15,,,,,5.25,1.31,,2021-06-09,100.0,USD,,,,,USD,3
TQCB,2021-06-09,РЖД-19 обл,RU000A0JQ7Z2,14.0,143193.9,102.8,103.1,102.8,103.0,32.05,103.02,6.94,103.1,139.0,,103.14,103.0,0.0,501259.6,0.0,2024-07-08,992.0,6.86,,,7.85,39.14,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,Мечел  4об,RU000A0JQ8V9,1.0,127.0,254.0,254.0,254.0,254.0,0.6,254.0,-91.27,254.0,1.0,,,254.0,0.0,0.0,0.0,2021-07-15,36.0,-91.27,,,8.0,1.0,,2021-06-09,50.0,SUR,,,-608.6829,,RUB,3
TQCB,2021-06-09,ДОМ.РФ15об,RU000A0JQAM6,4.0,1463100.0,112.5,112.7,112.5,112.55,15.9,112.55,-30.98,112.7,1300.0,112.96,112.96,112.55,17511360.0,17284230.0,17511360.0,2028-09-15,98.0,-31.09,,,6.75,34.03,2021-09-15,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,РЖД-23 обл,RU000A0JQRD9,25.0,146274.0,103.0,103.05,103.05,103.05,29.89,103.01,6.99,103.02,142.0,,103.05,103.05,0.0,10675776.4,0.0,2025-01-16,1142.0,7.01,,,7.85,39.14,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ГлДорога 3,RU000A0JR4U9,7.0,10087.2,89.28,98.0,97.0,91.7,23.23,91.7,11.71,92.67,11.0,,,91.7,0.0,0.0,0.0,2028-10-30,152.0,27.54,,,4.0,39.89,2021-11-08,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ЗСД 01,RU000A0JRJB8,1.0,3900.0,130.0,130.0,130.0,130.0,4.29,130.0,6.43,130.0,3.0,,,130.0,0.0,0.0,0.0,2031-05-13,2501.0,6.43,,,10.44,52.06,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ФСК ЕЭС-13,RU000A0JRL96,5.0,305995.6,100.28,100.5,100.28,100.28,39.36,100.33,-0.03,100.5,305.0,100.11,100.12,100.28,37288709.7,13221206.9,37288709.7,2021-06-22,13.0,-1.48,,,8.5,42.38,,2021-06-09,1000.0,SUR,,,-0.0269,,RUB,3
TQCB,2021-06-09,РСХБ 14,RU000A0JRLE8,9.0,70320250.0,100.1,100.1,100.1,100.1,36.17,100.1,6.17,100.1,70250.0,100.1,100.1,100.1,168923755.0,78328250.0,168923755.0,2021-06-29,20.0,6.17,,,8.15,40.64,,2021-06-09,1000.0,SUR,,,5.6998,,RUB,3
TQCB,2021-06-09,РСХБ 13,RU000A0JRMC0,1.0,81097.2,100.12,100.12,100.12,100.12,35.5,100.12,6.1,100.12,81.0,100.22,100.2,100.12,1368042.8,910799.0,1368042.8,2021-07-02,23.0,6.1,,,8.15,40.64,,2021-06-09,1000.0,SUR,,,5.6779,,RUB,3
TQCB,2021-06-09,ВЭБ.РФ 10,RU000A0JRTN2,1.0,20050.0,100.25,100.25,100.25,100.25,12.65,100.25,5.05,100.25,20.0,,99.97,100.25,0.0,850761.3,0.0,2021-09-21,104.0,5.05,,,5.92,29.52,,2021-06-09,1000.0,SUR,,,4.912,,RUB,3
TQCB,2021-06-09,СЗКК 03,RU000A0JRU20,2.0,1734.48,98.0,100.0,98.0,98.0,12.69,99.0,15.58,100.0,2.0,,,98.0,0.0,0.0,0.0,2031-09-26,121.0,12.12,,,8.67,37.87,2021-10-08,2021-06-09,876.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ВЭБлизинг8,RU000A0JRUY7,2.0,7025.5,100.31,100.5,100.5,100.5,9.93,100.36,5.88,100.31,7.0,,100.2,100.5,0.0,10578444.4,0.0,2021-10-19,132.0,6.28,,,7.25,36.15,,2021-06-09,1000.0,SUR,,,5.7257,,RUB,3
TQCB,2021-06-09,ВЭБлизинг9,RU000A0JRV52,2.0,2010.0,100.5,100.5,100.5,100.5,9.73,100.5,5.89,100.5,2.0,,100.74,100.5,0.0,695099.8,0.0,2021-10-20,133.0,5.89,,,7.25,36.15,,2021-06-09,1000.0,SUR,,,5.7379,,RUB,3
TQCB,2021-06-09,РСХБ 15,RU000A0JRVN8,2.0,261709.0,100.27,100.7,100.7,100.7,8.25,100.27,5.15,100.27,261.0,100.3,100.3,100.7,887668.7,793339.7,887668.7,2021-10-26,139.0,6.34,,,7.0,34.9,,2021-06-09,1000.0,SUR,,,5.0323,,RUB,3
TQCB,2021-06-09,СПбТел 07,RU000A0JRVU3,208.0,687575.2,102.51,103.33,102.77,102.84,17.45,102.78,6.5,102.78,669.0,102.78,102.78,102.84,687575.2,687575.2,687575.2,2022-04-05,292.0,6.49,,,9.95,49.61,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ОткрФКББ03,RU000A0JRZ74,12.0,25621.6,73.04,74.09,73.05,73.05,0.04,73.2,7.97,73.04,35.0,,73.23,73.05,0.0,504584.3,0.0,2025-07-16,1498.0,7.92,,,0.01,0.05,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,СПбТел 04,RU000A0JS3M7,2.0,43170.0,100.3,100.4,100.4,100.4,19.99,100.4,5.11,100.3,43.0,,99.66,100.4,0.0,543153.0,0.0,2022-01-31,231.0,5.11,,,5.7,28.42,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,Башнефть04,RU000A0JS3U0,4.0,44273.1,99.42,100.65,100.65,100.65,23.78,100.62,6.04,99.42,44.0,,,100.65,0.0,0.0,0.0,2022-02-04,234.0,6.09,,,7.0,34.9,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ВЭБ.РФ 21,RU000A0JS4Z7,2.0,4062.0,101.3,101.8,101.8,101.55,23.92,101.55,6.31,101.3,4.0,,101.96,101.55,0.0,1104199.0,0.0,2032-02-17,257.0,6.67,,,8.82,43.98,2022-03-01,2021-06-09,1000.0,SUR,,6.2393,,2022-03-03,RUB,3
TQCB,2021-06-09,РСХБ 16,RU000A0JS6N8,1.0,1010.0,101.0,101.0,101.0,101.0,10.95,101.0,4.94,101.0,1.0,99.88,99.89,101.0,583314.3,557375.4,583314.3,2022-04-04,294.0,4.94,,,6.15,30.67,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,РЖД-32 обл,RU000A0JSGV0,26.0,74434.8,100.14,100.73,100.6,100.6,27.15,100.59,-0.99,100.14,74.0,,100.71,100.6,0.0,500526.1,0.0,2032-06-25,30.0,-0.87,,,6.52,32.51,2021-07-09,2021-06-09,1000.0,SUR,,5.9284,,2022-07-13,RUB,3
TQCB,2021-06-09,ФСК ЕЭС-22,RU000A0JSQ58,2.0,7037.1,100.48,100.55,100.55,100.55,25.22,100.53,2.69,100.48,7.0,100.3,100.38,100.55,602821.7,502891.7,602821.7,2027-07-21,49.0,2.85,,,6.92,34.51,2021-07-28,2021-06-09,1000.0,SUR,,6.3794,,2022-08-03,RUB,3
TQCB,2021-06-09,ВЭБ.РФ 18,RU000A0JT403,1.0,15387.0,102.58,102.58,102.58,102.58,14.29,102.58,6.89,102.58,15.0,,102.02,102.58,0.0,1076342.6,0.0,2032-09-17,1076.0,6.89,,,7.67,38.24,2024-09-27,2021-06-09,1000.0,SUR,,6.8667,,2024-10-01,RUB,3
