timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,60.0000,60.0000,57.5600,59.5000,4.9583,138400,0.0000,1.0000
1998-01-05,58.6300,59.2500,56.5000,57.0000,4.7500,299200,0.0000,1.0000
1998-01-06,56.3800,58.5000,56.0000,58.0600,4.8383,347900,0.0000,1.0000
1998-01-07,58.0000,58.0000,56.3100,57.3800,4.7817,227100,0.0000,1.0000
1998-01-08,56.3800,56.4400,54.3800,55.3800,4.6150,501300,0.0000,1.0000
1998-01-09,56.0000,56.0000,50.7500,51.1300,4.2608,553600,0.0000,1.0000
1998-01-12,50.0000,52.6300,49.7500,51.6300,4.3025,616800,0.0000,1.0000
1998-01-13,52.1300,56.0000,51.8800,55.7500,4.6458,610100,0.0000,1.0000
1998-01-14,55.8800,58.5000,55.5000,58.5000,4.8750,708800,0.0000,1.0000
1998-01-15,57.5000,60.1300,57.5000,59.4400,4.9533,501200,0.0000,1.0000
1998-01-16,59.5000,59.7500,57.2500,57.5000,4.7917,213600,0.0000,1.0000
1998-01-20,57.8800,60.1300,57.7500,59.4400,4.9533,455600,0.0000,1.0000
1998-01-21,59.2500,62.0000,58.5000,60.8800,5.0733,728200,0.0000,1.0000
1998-01-22,60.8800,63.2500,60.2500,61.6300,5.1358,789300,0.0000,1.0000
1998-01-23,64.1300,64.1300,59.2500,59.2500,4.9375,759900,0.0000,1.0000
1998-01-26,59.7500,59.8800,56.8800,57.7500,4.8125,392700,0.0000,1.0000
1998-01-27,57.8100,58.3800,56.0000,57.0000,4.7500,342000,0.0000,1.0000
1998-01-28,57.0000,58.0000,55.5000,57.2500,4.7708,441100,0.0000,1.0000
1998-01-29,57.5000,59.8800,57.3800,59.5000,4.9583,403000,0.0000,1.0000
1998-01-30,60.0000,60.7500,58.6300,59.0000,4.9167,310200,0.0000,1.0000
1998-02-02,59.3800,62.5000,59.2500,62.3800,5.1983,576100,0.0000,1.0000
1998-02-03,62.2500,63.0000,61.1300,61.8100,5.1508,369100,0.0000,1.0000
1998-02-04,60.7500,62.2500,60.6300,60.7500,5.0625,102900,0.0000,1.0000
1998-02-05,61.3800,61.3800,58.5000,59.2500,4.9375,486000,0.0000,1.0000
1998-02-06,59.1300,60.2500,58.5000,58.8800,4.9067,176900,0.0000,1.0000
1998-02-09,59.0000,59.5000,57.2500,58.2500,4.8542,218900,0.0000,1.0000
1998-02-10,58.5000,63.8100,58.0000,63.6300,5.3025,1024700,0.0000,1.0000
1998-02-11,63.5000,65.5600,63.3800,63.5000,5.2917,539500,0.0000,1.0000
1998-02-12,63.2500,63.6300,62.2500,63.1300,5.2608,253000,0.0000,1.0000
1998-02-13,63.0000,63.2500,61.7500,62.2500,5.1875,701700,0.0000,1.0000
1998-02-17,62.6300,62.6300,60.8800,61.7500,5.1458,198000,0.0000,1.0000
1998-02-18,61.7500,61.7500,60.6300,60.8800,5.0733,247600,0.0000,1.0000
1998-02-19,61.3100,63.5000,61.0000,62.7500,5.2292,369700,0.0000,1.0000
1998-02-20,62.7500,63.5000,61.3800,63.2500,5.2708,225300,0.0000,1.0000
1998-02-23,63.5000,65.0000,62.5000,64.8800,5.4067,331500,0.0000,1.0000
1998-02-24,65.0000,68.1300,64.2500,64.8800,5.4067,1162100,0.0000,1.0000
1998-02-25,65.6300,66.5000,63.1300,65.8800,5.4900,562100,0.0000,1.0000
1998-02-26,65.5600,73.0000,65.2500,72.7500,6.0625,1281100,0.0000,1.0000
1998-02-27,72.2500,79.6300,71.8100,77.0000,6.4167,2058900,0.0000,1.0000
1998-03-02,75.8800,77.2500,75.0000,76.2500,6.3542,913100,0.0000,1.0000
1998-03-03,75.5000,75.7500,71.5000,71.7500,5.9792,668000,0.0000,1.0000
1998-03-04,72.0000,74.2500,70.0000,73.4400,6.1200,609500,0.0000,1.0000
1998-03-05,71.7500,78.1900,71.2500,75.0000,6.2500,1000100,0.0000,1.0000
1998-03-06,75.6300,77.0000,73.7500,76.7500,6.3958,490600,0.0000,1.0000
1998-03-09,76.8800,85.7500,76.7500,83.5000,6.9583,1921300,0.0000,1.0000
1998-03-10,85.5000,88.2500,82.8800,83.1100,6.9258,2062500,0.0000,1.0000
1998-03-11,82.0000,82.5000,78.2500,79.6300,6.6358,1029100,0.0000,1.0000
1998-03-12,78.7500,81.1300,77.1300,78.5000,6.5417,816600,0.0000,1.0000
1998-03-13,79.6300,80.8800,77.7500,78.6900,6.5575,543600,0.0000,1.0000
1998-03-16,79.5600,80.7500,79.0000,79.0000,6.5833,276000,0.0000,1.0000
1998-03-17,79.7500,80.2500,77.8800,79.8800,6.6567,258400,0.0000,1.0000
1998-03-18,79.2500,85.7500,79.2500,85.3100,7.1092,1138300,0.0000,1.0000
1998-03-19,85.3800,87.5000,83.7500,84.0000,7.0000,1009600,0.0000,1.0000
1998-03-20,84.0000,84.8800,83.1300,84.0000,7.0000,534400,0.0000,1.0000
1998-03-23,83.5600,84.7500,82.7500,83.8100,6.9842,250400,0.0000,1.0000
1998-03-24,82.5000,86.7500,82.5000,84.2500,7.0208,473400,0.0000,1.0000
1998-03-25,85.0000,85.7500,81.0000,81.6900,6.8075,940800,0.0000,1.0000
